TRDD2-201	TRDD2
PIGH-209	PIGH
PIGH-208	PIGH
TBC1D25-201	TBC1D25
TBC1D25-204	TBC1D25
TBC1D25-202	TBC1D25
SMARCAD1-202	SMARCAD1
SMARCAD1-204	SMARCAD1
SMARCAD1-207	SMARCAD1
SMARCAD1-201	SMARCAD1
SMARCAD1-203	SMARCAD1
SMARCAD1-206	SMARCAD1
CISH-202	CISH
CISH-201	CISH
SLC44A2-211	SLC44A2
SLC44A2-202	SLC44A2
SLC44A2-201	SLC44A2
SLC44A2-213	SLC44A2
SLC44A2-209	SLC44A2
SLC44A2-203	SLC44A2
SLC44A2-215	SLC44A2
SLC44A2-207	SLC44A2
SLC44A2-214	SLC44A2
SLC44A2-204	SLC44A2
CGNL1-201	CGNL1
TDGF1-205	TDGF1
TDGF1-201	TDGF1
KCNK7-202	KCNK7
KCNK7-204	KCNK7
KCNK7-203	KCNK7
KCNK7-201	KCNK7
KCNK7-206	KCNK7
KCNK7-205	KCNK7
HSF4-220	HSF4
HSF4-201	HSF4
HSF4-214	HSF4
HSF4-216	HSF4
HSF4-224	HSF4
HSF4-203	HSF4
HSF4-215	HSF4
HSF4-225	HSF4
HSF4-204	HSF4
HSF4-208	HSF4
HSF4-205	HSF4
HSF4-209	HSF4
HSF4-212	HSF4
HSF4-211	HSF4
HSF4-217	HSF4
GJB6-201	GJB6
GJB6-204	GJB6
GJB6-203	GJB6
GJB6-202	GJB6
GJB6-205	GJB6
EVI2A-202	EVI2A
EVI2A-201	EVI2A
EVI2A-203	EVI2A
HIST1H2AD-201	HIST1H2AD
POLR3H-202	POLR3H
POLR3H-201	POLR3H
POLR3H-206	POLR3H
POLR3H-207	POLR3H
POLR3H-204	POLR3H
POLR3H-208	POLR3H
POLR3H-203	POLR3H
PSMG4-210	PSMG4
PSMG4-203	PSMG4
PSMG4-206	PSMG4
PSMG4-202	PSMG4
PSMG4-205	PSMG4
PSMG4-209	PSMG4
PSMG4-201	PSMG4
PSMG4-207	PSMG4
PSMG4-208	PSMG4
BIVM-ERCC5-205	BIVM-ERCC5
BIVM-ERCC5-204	BIVM-ERCC5
BIVM-ERCC5-203	BIVM-ERCC5
BIVM-ERCC5-202	BIVM-ERCC5
BIVM-ERCC5-201	ERCC5
MARCH10-206	MARCH10
MARCH10-202	MARCH10
MARCH10-201	MARCH10
MARCH10-209	MARCH10
MARCH10-203	MARCH10
MARCH10-208	MARCH10
MARCH10-210	MARCH10
FRK-201	FRK
SLC35G3-201	SLC35G3
FAM174A-201	FAM174A
MPP5-201	MPP5
MPP5-205	MPP5
MPP5-204	MPP5
MPP5-207	MPP5
MPP5-206	MPP5
RAB3C-201	RAB3C
GAS2L3-201	GAS2L3
GAS2L3-205	GAS2L3
GAS2L3-208	GAS2L3
GAS2L3-202	GAS2L3
GAS2L3-209	GAS2L3
GAS2L3-203	GAS2L3
OST4-202	OST4
OST4-203	OST4
OST4-201	OST4
RIPOR3-202	RIPOR3
RIPOR3-201	RIPOR3
KLK14-201	KLK14
KLK14-202	KLK14
HEMK1-203	HEMK1
HEMK1-201	HEMK1
HEMK1-205	HEMK1
HEMK1-206	HEMK1
HEMK1-202	HEMK1
HEMK1-204	HEMK1
TWIST1-203	TWIST1
TWIST1-202	TWIST1
TWIST1-201	TWIST1
TMA7-201	TMA7
AL117348.2-201	AL117348.2
CLC-201	CLC
ZNF629-201	ZNF629
TUBB2A-201	TUBB2A
SRGAP2-204	SRGAP2
SRGAP2-215	SRGAP2
SRGAP2-217	SRGAP2
SRGAP2-203	SRGAP2
SRGAP2-202	SRGAP2
SRGAP2-214	SRGAP2
SRGAP2-212	SRGAP2
SRGAP2-207	SRGAP2
SRGAP2-201	SRGAP2
THOC3-202	THOC3
THOC3-211	THOC3
THOC3-201	THOC3
THOC3-203	THOC3
THOC3-210	THOC3
THOC3-208	THOC3
THOC3-205	THOC3
THOC3-206	THOC3
THOC3-209	THOC3
THOC3-212	THOC3
LGALS14-202	LGALS14
LGALS14-201	LGALS14
LGALS14-203	LGALS14
METTL21C-201	METTL21C
PORCN-203	PORCN
PORCN-208	PORCN
PORCN-209	PORCN
PORCN-202	PORCN
PORCN-213	PORCN
PORCN-211	PORCN
PORCN-204	PORCN
PORCN-207	PORCN
PORCN-201	PORCN
PORCN-214	PORCN
PORCN-205	PORCN
PARP10-203	PARP10
PARP10-201	PARP10
PARP10-205	PARP10
PARP10-209	PARP10
PARP10-202	PARP10
PARP10-206	PARP10
PARP10-212	PARP10
PARP10-204	PARP10
PARP10-218	PARP10
PARP10-216	PARP10
PARP10-213	PARP10
PARP10-210	PARP10
PARP10-215	PARP10
PARP10-217	PARP10
PARP10-220	PARP10
PARP10-219	PARP10
COL11A2-213	COL11A2
COL11A2-215	COL11A2
COL11A2-214	COL11A2
COL11A2-218	COL11A2
COL11A2-217	COL11A2
LRRC66-201	LRRC66
FAM122B-203	FAM122B
FAM122B-206	FAM122B
FAM122B-207	FAM122B
FAM122B-208	FAM122B
FAM122B-201	FAM122B
FAM122B-202	FAM122B
CRHR1-222	CRHR1
CRHR1-218	CRHR1
CRHR1-217	CRHR1
CRHR1-226	CRHR1
CRHR1-216	CRHR1
CRHR1-223	CRHR1
CRHR1-221	CRHR1
CRHR1-225	CRHR1
CRHR1-224	CRHR1
CRHR1-220	CRHR1
CRHR1-215	CRHR1
CRHR1-219	CRHR1
TMEM63A-201	TMEM63A
TMEM63A-202	TMEM63A
TMEM63A-209	TMEM63A
SPTLC2-201	SPTLC2
SPTLC2-205	SPTLC2
SPTLC2-203	SPTLC2
AC025165.3-201	AC025165.3
AC025165.3-203	AC025165.3
LRP12-202	LRP12
LRP12-201	LRP12
LRP12-207	LRP12
UFSP1-201	UFSP1
GRHPR-201	GRHPR
GRHPR-212	GRHPR
GRHPR-209	GRHPR
LAMB1-204	LAMB1
LAMB1-201	LAMB1
LAMB1-203	LAMB1
LAMB1-205	LAMB1
LAMB1-202	LAMB1
LIME1-202	LIME1
LIME1-201	LIME1
LIME1-206	LIME1
LIME1-205	LIME1
LIME1-208	LIME1
LIME1-204	LIME1
CEBPB-201	CEBPB
GPSM3-228	GPSM3
GPSM3-227	GPSM3
GPSM3-225	GPSM3
GPSM3-226	GPSM3
GPSM3-229	GPSM3
ZNF281-201	ZNF281
ZNF281-203	ZNF281
ZNF281-202	ZNF281
NME4-203	NME4
NME4-208	NME4
NME4-206	NME4
NME4-205	NME4
NME4-202	NME4
NME4-201	NME4
NME4-204	NME4
NME4-207	NME4
NME4-211	NME4
NME4-212	NME4
MC1R-203	MC1R
MC1R-204	MC1R
MC1R-202	MC1R
PPDPFL-203	PPDPFL
PPDPFL-204	PPDPFL
PPDPFL-202	PPDPFL
PPDPFL-201	PPDPFL
PSMG3-202	PSMG3
PSMG3-203	PSMG3
PSMG3-201	PSMG3
C5orf63-202	C5orf63
C5orf63-207	C5orf63
C5orf63-208	C5orf63
C5orf63-206	C5orf63
C5orf63-203	C5orf63
C5orf63-205	C5orf63
C5orf63-201	C5orf63
ZFP2-201	ZFP2
ZFP2-203	ZFP2
ZFP2-204	ZFP2
ZFP2-202	ZFP2
ZFP2-205	ZFP2
PPM1D-201	PPM1D
PPM1D-202	PPM1D
PPM1D-203	PPM1D
PPM1D-204	PPM1D
ABCF3-203	ABCF3
ABCF3-202	ABCF3
ABCF3-201	ABCF3
SHKBP1-201	SHKBP1
SHKBP1-209	SHKBP1
SHKBP1-225	SHKBP1
SHKBP1-211	SHKBP1
SHKBP1-219	SHKBP1
SHKBP1-224	SHKBP1
SHKBP1-207	SHKBP1
SHKBP1-206	SHKBP1
SHKBP1-227	SHKBP1
SHKBP1-202	SHKBP1
SHKBP1-222	SHKBP1
SHKBP1-203	SHKBP1
SHKBP1-212	SHKBP1
SHKBP1-214	SHKBP1
SHKBP1-208	SHKBP1
SHKBP1-204	SHKBP1
FAM3D-201	FAM3D
FAM3D-203	FAM3D
FAM3D-204	FAM3D
FAM3D-202	FAM3D
FAM3D-205	FAM3D
AC092143.1-201	AC092143.1
IFT46-202	IFT46
IFT46-201	IFT46
IFT46-207	IFT46
IFT46-209	IFT46
IFT46-212	IFT46
IFT46-211	IFT46
IFT46-205	IFT46
IFT46-210	IFT46
GP6-207	GP6
GP6-206	GP6
AC136616.2-201	AC136616.2
AC136616.2-202	AC136616.2
AC171558.1-201	AC171558.1
LENG1-206	LENG1
ARHGAP11A-211	ARHGAP11A
ARHGAP11A-210	ARHGAP11A
ARHGAP11A-209	ARHGAP11A
TJP1-215	TJP1
TJP1-214	TJP1
TJP1-213	TJP1
TJP1-216	TJP1
CR759815.2-201	CR759815.2
MAFIP-201	MAFIP
ANKRD31-203	ANKRD31
ANKRD31-201	ANKRD31
PLEKHA6-201	PLEKHA6
PLEKHA6-205	PLEKHA6
PLEKHA6-202	PLEKHA6
PLEKHA6-204	PLEKHA6
C9orf135-201	C9orf135
C9orf135-205	C9orf135
C9orf135-207	C9orf135
C9orf135-206	C9orf135
C9orf135-204	C9orf135
C9orf135-203	C9orf135
ARHGEF40-201	ARHGEF40
ARHGEF40-204	ARHGEF40
ARHGEF40-207	ARHGEF40
ARHGEF40-202	ARHGEF40
RCN3-201	RCN3
RCN3-204	RCN3
RCN3-205	RCN3
RCN3-202	RCN3
UTP15-207	UTP15
UTP15-201	UTP15
UTP15-204	UTP15
UTP15-203	UTP15
UTP15-202	UTP15
UTP15-208	UTP15
NSF-201	NSF
NSF-205	NSF
NSF-207	NSF
NSF-204	NSF
NSF-206	NSF
NSF-208	NSF
NSF-202	NSF
NUMA1-220	NUMA1
NUMA1-201	NUMA1
NUMA1-202	NUMA1
NUMA1-205	NUMA1
NUMA1-229	NUMA1
NUMA1-223	NUMA1
NUMA1-213	NUMA1
NUMA1-228	NUMA1
NUMA1-226	NUMA1
NUMA1-224	NUMA1
NUMA1-215	NUMA1
NUMA1-227	NUMA1
NUMA1-211	NUMA1
NUMA1-208	NUMA1
NUMA1-204	NUMA1
NUMA1-222	NUMA1
NUMA1-203	NUMA1
NUMA1-221	NUMA1
NUMA1-209	NUMA1
NUMA1-210	NUMA1
NUMA1-231	NUMA1
NUMA1-234	NUMA1
NUMA1-232	NUMA1
NUMA1-233	NUMA1
MARK3-206	MARK3
MARK3-204	MARK3
MARK3-205	MARK3
MARK3-202	MARK3
MARK3-201	MARK3
MARK3-207	MARK3
MARK3-220	MARK3
MARK3-203	MARK3
MARK3-225	MARK3
MARK3-208	MARK3
MARK3-226	MARK3
MARK3-211	MARK3
ACTG1-201	ACTG1
ACTG1-206	ACTG1
ACTG1-210	ACTG1
ACTG1-208	ACTG1
ACTG1-214	ACTG1
ACTG1-205	ACTG1
ACTG1-203	ACTG1
ACTG1-211	ACTG1
ACTG1-209	ACTG1
ACTG1-204	ACTG1
ACTG1-202	ACTG1
ACTG1-216	ACTG1
SETD3-202	SETD3
SETD3-205	SETD3
SETD3-206	SETD3
SETD3-201	SETD3
SETD3-204	SETD3
SETD3-203	SETD3
SETD3-209	SETD3
GLE1-201	GLE1
GLE1-202	GLE1
GSTO2-201	GSTO2
GSTO2-202	GSTO2
GSTO2-203	GSTO2
MGAT2-201	MGAT2
HDAC5-201	HDAC5
HDAC5-202	HDAC5
HDAC5-204	HDAC5
HDAC5-207	HDAC5
HDAC5-209	HDAC5
HDAC5-210	HDAC5
HDAC5-205	HDAC5
RPL36AL-201	RPL36AL
ALDH16A1-201	ALDH16A1
ALDH16A1-203	ALDH16A1
ALDH16A1-202	ALDH16A1
ALDH16A1-204	ALDH16A1
ALDH16A1-208	ALDH16A1
RPL13A-201	RPL13A
RPL13A-214	RPL13A
RPL13A-210	RPL13A
RPL13A-202	RPL13A
RPL13A-213	RPL13A
ENDOV-214	ENDOV
ENDOV-224	ENDOV
ENDOV-204	ENDOV
ENDOV-213	ENDOV
ENDOV-229	ENDOV
ENDOV-208	ENDOV
ENDOV-201	ENDOV
ENDOV-225	ENDOV
ENDOV-211	ENDOV
ENDOV-212	ENDOV
ENDOV-203	ENDOV
ENDOV-227	ENDOV
ENDOV-228	ENDOV
ENDOV-223	ENDOV
ENDOV-219	ENDOV
ENDOV-207	ENDOV
ENDOV-205	ENDOV
ENDOV-206	ENDOV
ENDOV-202	ENDOV
ENDOV-220	ENDOV
ENDOV-230	ENDOV
ENDOV-209	ENDOV
ASB6-202	ASB6
ASB6-201	ASB6
ASB6-203	ASB6
SOCS3-201	SOCS3
SOCS3-202	SOCS3
THY1-201	THY1
THY1-206	THY1
THY1-205	THY1
THY1-203	THY1
THY1-209	THY1
THY1-202	THY1
FAM46A-204	TENT5A
FAM46A-202	TENT5A
FAM46A-201	TENT5A
FAM46A-203	TENT5A
FAM46A-205	TENT5A
RTN4IP1-201	RTN4IP1
RTN4IP1-204	RTN4IP1
EPN2-218	EPN2
EPN2-224	EPN2
EPN2-201	EPN2
EPN2-222	EPN2
EPN2-215	EPN2
EPN2-216	EPN2
EPN2-203	EPN2
EPN2-206	EPN2
EPN2-208	EPN2
EPN2-212	EPN2
EPN2-217	EPN2
EPN2-223	EPN2
EPN2-213	EPN2
EPN2-204	EPN2
EPN2-205	EPN2
EPN2-210	EPN2
EPN2-202	EPN2
AGBL4-204	AGBL4
AGBL4-205	AGBL4
AGBL4-202	AGBL4
AGBL4-203	AGBL4
AGBL4-201	AGBL4
IRX2-202	IRX2
IRX2-201	IRX2
SMIM33-201	SMIM33
TRMT10A-203	TRMT10A
TRMT10A-201	TRMT10A
TRMT10A-202	TRMT10A
TRMT10A-204	TRMT10A
TRMT10A-206	TRMT10A
HSPB2-C11orf52-201	HSPB2-C11orf52
HSPB2-C11orf52-202	HSPB2-C11orf52
HSPA4-201	HSPA4
HSPA4-204	HSPA4
HSPA4-205	HSPA4
KDM4F-201	KDM4F
AC010422.3-201	AC010422.3
CRHR1-204	CRHR1
CRHR1-202	CRHR1
CRHR1-205	CRHR1
CRHR1-208	CRHR1
CRHR1-206	CRHR1
CRHR1-210	CRHR1
CRHR1-213	CRHR1
CRHR1-209	CRHR1
CRHR1-207	CRHR1
CRHR1-203	CRHR1
CRHR1-214	CRHR1
CRHR1-201	CRHR1
SMAP1-202	SMAP1
SMAP1-201	SMAP1
SMAP1-203	SMAP1
SMAP1-205	SMAP1
SMAP1-204	SMAP1
SMAP1-206	SMAP1
CHFR-201	CHFR
CHFR-204	CHFR
CHFR-205	CHFR
CHFR-202	CHFR
CHFR-203	CHFR
CHFR-222	CHFR
CHFR-210	CHFR
CHFR-220	CHFR
CHFR-218	CHFR
CHFR-217	CHFR
CHFR-221	CHFR
CHFR-214	CHFR
DACT1-206	DACT1
DACT1-203	DACT1
DACT1-202	DACT1
DACT1-201	DACT1
DACT1-204	DACT1
CINP-207	CINP
CINP-206	CINP
CINP-201	CINP
CINP-202	CINP
CINP-203	CINP
CINP-205	CINP
KAT7-201	KAT7
KAT7-204	KAT7
KAT7-210	KAT7
KAT7-213	KAT7
KAT7-202	KAT7
KAT7-207	KAT7
KAT7-203	KAT7
C19orf85-201	C19orf85
AFF4-201	AFF4
AFF4-203	AFF4
AFF4-205	AFF4
AFF4-204	AFF4
ZNF420-209	ZNF420
ZNF420-205	ZNF420
ZNF420-208	ZNF420
ZNF420-206	ZNF420
ZNF420-201	ZNF420
ZNF420-207	ZNF420
ZNF420-202	ZNF420
ZNF420-203	ZNF420
AMOTL1-201	AMOTL1
AMOTL1-202	AMOTL1
AMOTL1-203	AMOTL1
MIEN1-201	MIEN1
MIEN1-205	MIEN1
NLRP7-237	NLRP7
NLRP7-238	NLRP7
NLRP7-240	NLRP7
NLRP7-236	NLRP7
NLRP7-239	NLRP7
SFTA2-204	SFTA2
CTDSP1-204	CTDSP1
CTDSP1-201	CTDSP1
CTDSP1-205	CTDSP1
CTDSP1-202	CTDSP1
CTDSP1-203	CTDSP1
PGAP3-206	PGAP3
PGAP3-201	PGAP3
PGAP3-203	PGAP3
PGAP3-204	PGAP3
PGAP3-205	PGAP3
PGAP3-209	PGAP3
PGAP3-210	PGAP3
PGAP3-211	PGAP3
AC015802.6-201	AC015802.6
BAG6-380	BAG6
BAG6-382	BAG6
BAG6-366	BAG6
BAG6-363	BAG6
BAG6-365	BAG6
BAG6-374	BAG6
BAG6-370	BAG6
BAG6-362	BAG6
BAG6-367	BAG6
BAG6-369	BAG6
BAG6-379	BAG6
BAG6-378	BAG6
BAG6-364	BAG6
BAG6-373	BAG6
BAG6-381	BAG6
BAG6-375	BAG6
BAG6-383	BAG6
BAG6-372	BAG6
BAG6-371	BAG6
BAG6-377	BAG6
BAG6-368	BAG6
BAG6-376	BAG6
BAG6-394	BAG6
BAG6-393	BAG6
ST6GALNAC2-201	ST6GALNAC2
ST6GALNAC2-202	ST6GALNAC2
ST6GALNAC2-207	ST6GALNAC2
ST6GALNAC2-206	ST6GALNAC2
ST6GALNAC2-203	ST6GALNAC2
TEAD2-208	TEAD2
TEAD2-204	TEAD2
TEAD2-210	TEAD2
TEAD2-201	TEAD2
TEAD2-202	TEAD2
TEAD2-203	TEAD2
TEAD2-209	TEAD2
TEAD2-206	TEAD2
DAPK1-201	DAPK1
DAPK1-209	DAPK1
DAPK1-202	DAPK1
DAPK1-213	DAPK1
DAPK1-212	DAPK1
DAPK1-219	DAPK1
DAPK1-207	DAPK1
KIR3DL2-229	KIR3DL2
KIR3DL2-228	KIR3DL2
PTGIR-201	PTGIR
PTGIR-205	PTGIR
PTGIR-206	PTGIR
PTGIR-202	PTGIR
PTGIR-204	PTGIR
LYPD4-203	LYPD4
LYPD4-202	LYPD4
LYPD4-201	LYPD4
PLBD2-202	PLBD2
PLBD2-201	PLBD2
PLBD2-204	PLBD2
TPCN2-201	TPCN2
TPCN2-209	TPCN2
TPCN2-206	TPCN2
TPCN2-205	TPCN2
TPCN2-208	TPCN2
TPCN2-207	TPCN2
SPHK1-208	SPHK1
SPHK1-203	SPHK1
SPHK1-205	SPHK1
SPHK1-206	SPHK1
SPHK1-210	SPHK1
SPHK1-207	SPHK1
SPHK1-201	SPHK1
SPHK1-202	SPHK1
SOCS6-201	SOCS6
SOCS6-202	SOCS6
SOCS6-203	SOCS6
VCL-207	VCL
VCL-201	VCL
VCL-202	VCL
PAX9-201	PAX9
PAX9-204	PAX9
PAX9-202	PAX9
SLC6A16-201	SLC6A16
SLC6A16-202	SLC6A16
SLC6A16-207	SLC6A16
SLC6A16-203	SLC6A16
SLC6A16-205	SLC6A16
SLC6A16-204	SLC6A16
TRABD2B-202	TRABD2B
AL121758.1-201	AL121758.1
SPOP-202	SPOP
SPOP-206	SPOP
SPOP-205	SPOP
SPOP-216	SPOP
SPOP-214	SPOP
SPOP-209	SPOP
SPOP-210	SPOP
SPOP-212	SPOP
SPOP-219	SPOP
SPOP-220	SPOP
SPOP-207	SPOP
SPOP-217	SPOP
SPOP-213	SPOP
SPOP-203	SPOP
SPOP-201	SPOP
TCF15-201	TCF15
ZNF226-218	ZNF226
ZNF226-214	ZNF226
ZNF226-208	ZNF226
ZNF226-205	ZNF226
ZNF226-209	ZNF226
ZNF226-213	ZNF226
ZNF226-203	ZNF226
ZNF226-211	ZNF226
ZNF226-201	ZNF226
ZNF226-206	ZNF226
ZNF226-207	ZNF226
ZNF226-216	ZNF226
ZNF226-212	ZNF226
ZNF226-210	ZNF226
ZNF226-215	ZNF226
ZNF226-204	ZNF226
ZNF226-217	ZNF226
ZNF226-202	ZNF226
AGPAT4-201	AGPAT4
AGPAT4-205	AGPAT4
AGPAT4-204	AGPAT4
AGPAT4-202	AGPAT4
AGPAT4-203	AGPAT4
OR9G4-201	OR9G4
VOPP1-201	VOPP1
VOPP1-208	VOPP1
VOPP1-207	VOPP1
VOPP1-206	VOPP1
VOPP1-217	VOPP1
VOPP1-204	VOPP1
VOPP1-212	VOPP1
VOPP1-211	VOPP1
VOPP1-205	VOPP1
VOPP1-213	VOPP1
VOPP1-202	VOPP1
VOPP1-203	VOPP1
VOPP1-209	VOPP1
SLC25A36-203	SLC25A36
SLC25A36-208	SLC25A36
SLC25A36-201	SLC25A36
SLC25A36-205	SLC25A36
SLC25A36-204	SLC25A36
SLC25A36-215	SLC25A36
SLC25A36-212	SLC25A36
SLC25A36-210	SLC25A36
SLC25A36-211	SLC25A36
ZNF563-201	ZNF563
ZNF563-202	ZNF563
ZNF563-203	ZNF563
ZNF563-204	ZNF563
CMPK1-203	CMPK1
CMPK1-202	CMPK1
CMPK1-205	CMPK1
CMPK1-204	CMPK1
RNF39-213	RNF39
RNF39-214	RNF39
MCHR1-201	MCHR1
MCHR1-202	MCHR1
AC008763.2-201	AC008763.2
AC008763.2-202	AC008763.2
AC008763.2-203	AC008763.2
DYNC1H1-201	DYNC1H1
DYNC1H1-202	DYNC1H1
KCNA2-205	KCNA2
KCNA2-202	KCNA2
KCNA2-209	KCNA2
KCNA2-214	KCNA2
KCNA2-211	KCNA2
KCNA2-206	KCNA2
KCNA2-208	KCNA2
KCNA2-201	KCNA2
KCNA2-207	KCNA2
KCNA2-203	KCNA2
KCNA2-215	KCNA2
MCM5-201	MCM5
MCM5-206	MCM5
MCM5-202	MCM5
MCM5-203	MCM5
MCM5-205	MCM5
DGAT2-203	DGAT2
DGAT2-207	DGAT2
DGAT2-201	DGAT2
DGAT2-206	DGAT2
DGAT2-208	DGAT2
DGAT2-202	DGAT2
FMNL1-202	FMNL1
FMNL1-206	FMNL1
FMNL1-205	FMNL1
FMNL1-208	FMNL1
FMNL1-204	FMNL1
FMNL1-201	FMNL1
SMARCAL1-207	SMARCAL1
SMARCAL1-201	SMARCAL1
SMARCAL1-209	SMARCAL1
SMARCAL1-205	SMARCAL1
SMARCAL1-202	SMARCAL1
SMARCAL1-208	SMARCAL1
SMARCAL1-206	SMARCAL1
SMARCAL1-203	SMARCAL1
SMARCAL1-204	SMARCAL1
SMARCAL1-210	SMARCAL1
ZNF225-203	ZNF225
ZNF225-201	ZNF225
ZNF225-202	ZNF225
ZNF225-206	ZNF225
ZNF225-204	ZNF225
PHACTR3-202	PHACTR3
PHACTR3-206	PHACTR3
PHACTR3-204	PHACTR3
PHACTR3-201	PHACTR3
PHACTR3-205	PHACTR3
PHACTR3-203	PHACTR3
PHACTR3-209	PHACTR3
BRMS1L-201	BRMS1L
BRMS1L-205	BRMS1L
BRMS1L-202	BRMS1L
BRMS1L-204	BRMS1L
ZNF44-208	ZNF44
ZNF44-204	ZNF44
ZNF44-205	ZNF44
ZNF44-203	ZNF44
ZNF44-202	ZNF44
ZNF44-201	ZNF44
SERINC4-204	SERINC4
SERINC4-205	SERINC4
SERINC4-201	SERINC4
SERINC4-202	SERINC4
SERINC4-203	SERINC4
JPH2-202	JPH2
JPH2-201	JPH2
SPNS2-201	AC118754.1
SPNS2-204	AC118754.1
RNF41-201	RNF41
RNF41-203	RNF41
RNF41-202	RNF41
RNF41-211	RNF41
RNF41-209	RNF41
RNF41-210	RNF41
RNF41-206	RNF41
RNF41-207	RNF41
RNF41-212	RNF41
MAML3-203	MAML3
MAML3-202	MAML3
MAML3-201	MAML3
CLEC1B-203	CLEC1B
CLEC1B-204	CLEC1B
CLEC1B-201	CLEC1B
CLEC1B-202	CLEC1B
TMEM218-213	TMEM218
TMEM218-207	TMEM218
TMEM218-214	TMEM218
TMEM218-215	TMEM218
TMEM218-201	TMEM218
TMEM218-203	TMEM218
TMEM218-206	TMEM218
TMEM218-210	TMEM218
TMEM218-209	TMEM218
TMEM218-205	TMEM218
TMEM218-202	TMEM218
TMEM218-217	TMEM218
TMEM218-208	TMEM218
FANCF-201	FANCF
SOHLH1-201	SOHLH1
SOHLH1-202	SOHLH1
C10orf53-203	C10orf53
C10orf53-201	C10orf53
C10orf53-202	C10orf53
C10orf53-204	C10orf53
CCL18-201	CCL18
JUP-202	JUP
JUP-201	JUP
JUP-203	JUP
JUP-208	JUP
JUP-206	JUP
JUP-204	JUP
JUP-205	JUP
JUP-212	JUP
JUP-207	JUP
JUP-209	JUP
ZNF625-201	ZNF625
ZNF625-203	ZNF625
ZNF625-202	ZNF625
C2CD2L-201	C2CD2L
C2CD2L-205	C2CD2L
AC008687.8-201	AC008687.8
TAF7-201	TAF7
TAF7-203	TAF7
PCDHB4-201	PCDHB4
WDR61-204	WDR61
WDR61-214	WDR61
WDR61-202	WDR61
WDR61-201	WDR61
WDR61-205	WDR61
WDR61-212	WDR61
WDR61-213	WDR61
WDR61-209	WDR61
SERPINA12-202	SERPINA12
SERPINA12-201	SERPINA12
IGFL2-202	IGFL2
IGFL2-201	IGFL2
IGFL2-205	IGFL2
NUP188-201	NUP188
FOXD4L6-201	FOXD4L6
ZNF217-202	ZNF217
ZNF217-204	ZNF217
ZNF217-203	ZNF217
ZNF217-201	ZNF217
EPYC-201	EPYC
EPYC-203	EPYC
ARMC7-203	ARMC7
ARMC7-204	ARMC7
ARMC7-201	ARMC7
ARMC7-205	ARMC7
TUBB4B-201	TUBB4B
MRPS34-201	MRPS34
MRPS34-202	MRPS34
NT5C-210	NT5C
NT5C-209	NT5C
NT5C-201	NT5C
NT5C-205	NT5C
NT5C-212	NT5C
NT5C-208	NT5C
NT5C-211	NT5C
NT5C-204	NT5C
LYPD5-201	LYPD5
LYPD5-202	LYPD5
LYPD5-203	LYPD5
LYPD5-204	LYPD5
LYPD5-208	LYPD5
GDPD5-204	GDPD5
GDPD5-206	GDPD5
GDPD5-214	GDPD5
GDPD5-209	GDPD5
GDPD5-201	GDPD5
GDPD5-215	GDPD5
GDPD5-217	GDPD5
GDPD5-213	GDPD5
GDPD5-202	GDPD5
FAM166A-201	FAM166A
FAM166A-203	FAM166A
NRGN-201	NRGN
NRGN-202	NRGN
SCMH1-201	SCMH1
SCMH1-205	SCMH1
SCMH1-202	SCMH1
SCMH1-207	SCMH1
SCMH1-206	SCMH1
SCMH1-213	SCMH1
SCMH1-211	SCMH1
SCMH1-208	SCMH1
SCMH1-209	SCMH1
SCMH1-203	SCMH1
SCMH1-204	SCMH1
SCMH1-210	SCMH1
MOG-297	MOG
MOG-292	MOG
MOG-290	MOG
MOG-295	MOG
MOG-291	MOG
MOG-296	MOG
MOG-298	MOG
MOG-293	MOG
MOG-294	MOG
MOG-303	MOG
WNT5A-202	WNT5A
WNT5A-205	WNT5A
WNT5A-203	WNT5A
WNT5A-201	WNT5A
LAMTOR5-204	LAMTOR5
LAMTOR5-203	LAMTOR5
LAMTOR5-206	LAMTOR5
LAMTOR5-201	LAMTOR5
LAMTOR5-207	LAMTOR5
LAMTOR5-208	LAMTOR5
KRT38-201	KRT38
STPG3-201	STPG3
STPG3-202	STPG3
STPG3-206	STPG3
STPG3-204	STPG3
STPG3-207	STPG3
STPG3-205	STPG3
SLC34A3-201	SLC34A3
SLC34A3-202	SLC34A3
TRABD2A-201	TRABD2A
TRABD2A-202	TRABD2A
TRABD2A-203	TRABD2A
KRT37-201	KRT37
SCNN1B-202	SCNN1B
SCNN1B-201	SCNN1B
SCNN1B-203	SCNN1B
SCNN1B-207	SCNN1B
SCNN1B-208	SCNN1B
SCNN1B-204	SCNN1B
GABRA6-201	GABRA6
GABRA6-207	GABRA6
GABRA6-204	GABRA6
GABRA6-202	GABRA6
GABRA6-208	GABRA6
SPATA31D1-201	SPATA31D1
PJA2-201	PJA2
PJA2-202	PJA2
PANX3-201	PANX3
TRIM32-201	TRIM32
TRIM32-202	TRIM32
TRIM32-203	TRIM32
TGM4-201	TGM4
TGM4-202	TGM4
TLCD1-201	TLCD1
TLCD1-204	TLCD1
TLCD1-202	TLCD1
TLCD1-203	TLCD1
C11orf54-213	C11orf54
C11orf54-206	C11orf54
C11orf54-202	C11orf54
C11orf54-209	C11orf54
C11orf54-204	C11orf54
C11orf54-211	C11orf54
C11orf54-208	C11orf54
C11orf54-205	C11orf54
C11orf54-203	C11orf54
C11orf54-212	C11orf54
