TRDD2-201	TRDD2
AC244196.4-201	TRBV11-3
TRBV7-6-201	TRBV7-6
TRBV6-5-201	TRBV6-5
TRBV2-201	TRBV2
TRAV26-1-201	TRAV26-1
TRDV1-201	TRDV1
TRDV1-202	TRDV1
TRAV20-201	TRAV20
TRGV10-201	TRGV10
TRGV4-201	TRGV4
TRGV3-201	TRGV3
TRBV6-7-201	TRBV6-7
TRAV8-3-201	TRAV8-3
TRBV4-1-201	TRBV4-1
TRAV24-201	TRAV24
TRAV14DV4-201	TRAV14DV4
TRAV8-7-201	TRAV8-7
TRAV8-4-201	TRAV8-4
TRAV13-2-201	TRAV13-2
TRAV22-201	TRAV22
TRAV27-201	TRAV27
TRAV16-201	TRAV16
TRAV4-201	TRAV4
TRAV5-201	TRAV5
TRAV6-201	TRAV6
TRAV7-201	TRAV7
TRAV8-1-201	TRAV8-1
TRAV9-1-201	TRAV9-1
TRBV20OR9-2-201	TRBV20OR9-2
TRAV12-2-201	TRAV12-2
TRAV3-201	TRAV3
TRAV17-201	TRAV17
TRAV13-1-201	TRAV13-1
AC244472.5-201	TRBV17
AC244472.3-201	TRBV18
TRBV19-201	TRBV19
TRBV20-1-201	TRBV20-1
TRBV23-1-201	TRBV23-1
TRBV24-1-201	TRBV24-1
TRBV25-1-202	TRBV25-1
TRBV27-201	TRBV27
TRBV27-202	TRBV27
TRBV28-202	TRBV28
TRBV29-1-202	TRBV29-1
TRBV28-201	TRBV28
TRBV29-1-201	TRBV29-1
TRBV30-202	TRBV30
TRBV30-201	TRBV30
OR1B1-201	OR1B1
OR10A6-202	OR10A6
PNLIPRP2-201	PNLIPRP2
PNLIPRP2-205	PNLIPRP2
PNLIPRP2-204	PNLIPRP2
VN1R5-201	VN1R5
KIR2DS4-229	KIR2DS4
OR6J1-201	OR6J1
OR9H1P-201	OR9H1P
POTEA-202	POTEA
POTEA-201	POTEA
OR51B2-201	OR51B2
KIR2DS4-201	KIR2DS4
KIR2DS4-202	KIR2DS4
OR2J1-201	OR2J1
OR5G3-201	OR5G3
OR5R1-201	OR5R1
AP002512.3-201	OR5AL1
OR5AC1-201	OR5AC1
MROH5-206	MROH5
OR4Q2-201	OR4Q2
OR4Q2-202	OR4Q2
OR5AR1-201	OR5AR1
KIR2DS4-228	KIR2DS4
AC113331.2-201	OR52E1
OR51F1-201	OR51F1
OR51F1-202	OR51F1
OR4K3-201	OR4K3
MROH5-204	MROH5
MROH5-202	MROH5
MROH5-201	MROH5
MROH5-203	MROH5
MROH5-205	MROH5
IFNL4-204	IFNL4
IFNL4-203	IFNL4
IFNL4-201	IFNL4
IFNL4-202	IFNL4
OR51G1-201	OR51G1
OR4A8-201	OR4A8
CASP12-212	CASP12
CASP12-209	CASP12
CASP12-201	CASP12
CASP12-207	CASP12
CASP12-206	CASP12
CASP12-205	CASP12
CASP12-204	CASP12
CASP12-208	CASP12
CASP12-202	CASP12
CASP12-210	CASP12
CASP12-211	CASP12
CASP12-203	CASP12
GBA3-207	GBA3
GBA3-206	GBA3
GBA3-201	GBA3
GBA3-205	GBA3
GBA3-203	GBA3
OR51Q1-201	OR51Q1
KIR2DS4-208	KIR2DS4
SERPINA2-201	SERPINA2
OR4C16-201	OR4C16
AC097495.1-201	GKN3P
OR8D2-201	OR8D2
OR52R1-201	OR52R1
OR11H7-201	OR11H7
OR10J4-201	OR10J4
OR12D1-207	OR12D1
OR8K3-202	OR8K3
OR5D13-201	OR5D13
OR5H8-201	OR5H8
OR2F1-202	OR2F1
OR12D2-206	OR12D2
TUSC5-202	TRARG1
KIR2DS4-225	KIR2DS4
CYP2D7-204	CYP2D7
CYP2D7-201	CYP2D7
CYP2D7-203	CYP2D7
CYP2D7-208	CYP2D7
CYP2D7-207	CYP2D7
OR4X2-201	OR4X2
OR5L1-201	OR5L1
OR52B4-201	OR52B4
CYP2D7-217	CYP2D7
CYP2D7-222	CYP2D7
CYP2D7-218	CYP2D7
CYP2D7-216	CYP2D7
CYP2D7-215	CYP2D7
OR1S1-201	OR1S1
AKR7L-203	AKR7L
AKR7L-202	AKR7L
AKR7L-201	AKR7L
KIR2DS4-205	KIR2DS4
OR5H6-201	OR5H6
KIR2DS4-216	KIR2DS4
OR4C45-201	OR4C45
OR10X1-201	OR10X1
UBE2NL-201	UBE2NL
OR2T11-201	OR2T11
FCGR2C-202	FCGR2C
FCGR2C-212	FCGR2C
FCGR2C-211	FCGR2C
PKD1L2-210	PKD1L2
PKD1L2-203	PKD1L2
PKD1L2-209	PKD1L2
PKD1L2-204	PKD1L2
PKD1L2-205	PKD1L2
PKD1L2-202	PKD1L2
OR10AC1-201	OR10AC1
OR2L8-201	OR2L8
KIR2DS4-210	KIR2DS4
KIR2DS4-209	KIR2DS4
OR13C7-201	OR13C7
CYP2D7-210	CYP2D7
CYP2D7-211	CYP2D7
CYP2D7-214	CYP2D7
CYP2D7-213	CYP2D7
OR10A6-201	OR10A6
OR4E1-201	OR4E1
GSTT2-201	GSTT2
GSTT2-203	GSTT2
GSTT2-202	GSTT2
MUC6-207	MUC6
MUC6-205	MUC6
OR8J2-202	OR8J2
OR8K3-201	OR8K3
OR1P1-201	OR1P1
KIR2DS4-204	KIR2DS4
OR5G3-202	OR5G3
MUC6-212	MUC6
MUC6-210	MUC6
NAT8B-201	NAT8B
KIR2DS4-221	KIR2DS4
KIR2DS4-222	KIR2DS4
CYP2D6-206	CYP2D6
CYP2D6-207	CYP2D6
OR10A6-205	OR10A6
CYP2D7-224	CYP2D7
CYP2D7-225	CYP2D7
CYP2D7-227	CYP2D7
